district,latitude,longitude,label
Gangseo-gu,37.551,126.8495,Gangseo
Yangcheon-gu,37.52424,126.855396,Gangseo
Guro-gu,37.4954,126.8874,Gangseo
Geumcheon-gu,37.4519,126.902,Gangseo
Mapo-gu,37.560229,126.908728,Gangseo
Gwanak-gu,37.487517,126.915065,Gangnam
Dongjak-gu,37.5124,126.9393,Gangnam
Seocho-gu,37.4837,127.0324,Gangnam
Gangnam-gu,37.5172,127.0473,Gangnam
Songpa-gu,37.50351,127.117898,Gangnam
Yongsan-gu,37.532561,127.008605,Gangbuk
Jongro-gu,37.573,126.9794,Gangbuk
Seongbuk-gu,37.603979,127.056344,Gangbuk
Nowon-gu,37.6542,127.0568,Gangbuk
Dobong-gu,37.6688,127.0471,Gangbuk
Seongdong-gu,37.55734,127.041667,Gangdong
Dongdaemun-gu,37.575759,127.025288,Gangdong
Gwangjin-gu,37.557562,127.083467,Gangdong
Gangdong-gu,37.554194,127.151405,Gangdong
Jungrang-gu,37.593684,127.090384,Gangdong
